TableCode,RowCount
327,112
328,112
7051,22644
7080,179712
7421,814
7422,967
7423,10826
7501,1829880
7502,1892670
7505,86664
7506,70656
7507,57408
7508,22080
7509,33396
7510,1728
7511,8280
7512,3527280
7513,1144
7541,1949181
7551,1863
7552,3456
7553,6336
7554,3456
7555,4608
7556,6336
7557,7488
7578,630504
7579,519990
7580,1502092
7581,3247
7620,68283
7621,48635
7622,26553
7623,27015
7624,5639
7625,17642
7626,17237
7627,13767
7628,9172
7629,15155
7630,6926
7631,12304
8001,3666534
8002,3641352
8004,967632
8021,1920600
8022,3991482
8043,174240
8135,307328
8241,1069488
